Course,Course Title,Class Section Availability,Course Start/End Date,Credits,Schedule,Instructor,Class Type,Delivery Method,Course Attribute,Class Comments,Avail Seats:,Course Schedule
HEO100,"Tools, Hardware & Basic Safety",1,8/18/2025 to 12/1/2025,2,M 11:00AM - 12:45PM,"Peck,Ryan",,On Campus,Fall Only,WD 11/14/2025,1 of 11,Click for Details
AMT127,Engine Electrical Systems,5,11/10/2025 to 12/12/2025,3,MTWR 8:00AM - 9:45AM...,"Young,Harrison",,On Campus,NA,12/1/2025,7 of 16,Click for Details
CSC124,"Information, Technology & Society",3,8/19/2025 to 12/4/2025,3,TR 8:00AM - 9:15AM,"Murray,Karen",,On Campus,NA,11/14/2025,0 of 24,Click for Details
PSY111,General Psychology,21,8/18/2025 to 12/3/2025,3,MW 12:30PM - 1:45PM,"Wahl,Jennifer",,On Campus,NA,W/D 11/14/2025,0 of 25,Click for Details
EET205,Network Maintenance Laboratory,21,8/19/2025 to 12/4/2025,1,TR 12:30PM - 1:45PM,"Rice,Mark",,On Campus,NA,11/14/2025,4 of 16,Click for Details
EET248,Introduction to Automation Control Concepts & Applications,22,8/18/2025 to 12/5/2025,4,MWF 1:00PM - 2:45PM,"Moser,Randall",,On Campus,Fall Only,11/14/2025,0 of 12,Click for Details
FYE101,First Year Experience,19 NHS,8/19/2025 to 12/4/2025,1,TR 9:30AM - 10:20AM,"Arrigonie,John",,On Campus,NA,11/14/2025,0 of 24,Click for Details
DEN447,United States Health Policymaking,90,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Hicks,Jill",,Distance Learning,NA,"11/14/2025
May require identity verification fees.
100% virtual.",5 of 22,Click for Details
PHS103,Physics Survey,22,8/19/2025 to 12/4/2025,3,TR 12:30PM - 1:45PM,"Hurst,Travis",,On Campus,NA,W/D 11/14/2025,0 of 22,Click for Details
EET405,Automation Concepts & Applications,21,8/18/2025 to 12/3/2025,3,MW 2:00PM - 3:15PM,"Rankinen,Jeffrey",,On Campus,Fall Only,11/14/2025,1 of 18,Click for Details
AVC406,Avionics Auxiliary Systems Applications,2,8/20/2025 to 12/3/2025,1,W 1:30PM - 4:15PM,"Krepps,Matthew",,On Campus,Fall Only,11/14/2025,1 of 10,Click for Details
BIO125,Human Anatomy & Physiology II,1,8/19/2025 to 12/4/2025,4,TR 10:00AM - 11:15AM...,"Kule,Chris",,On Campus,NA,W/D 11/14/2025,4 of 24,Click for Details
HAD211,Honda Electrical Systems,1,10/13/2025 to 12/11/2025,5,MTWR 8:00AM - 9:15AM...,"Tavani,Joseph",,On Campus,Fall Only,12/2/2025,9 of 18,Click for Details
CSC124,"Information, Technology & Society",13,8/19/2025 to 12/4/2025,3,TR 11:00AM - 12:15PM,"Webb,Melissa",,On Campus,NA,11/14/2025,0 of 24,Click for Details
DEN214L##,Dental Materials/Specialties Lab,22,8/19/2025 to 12/2/2025,0,T 3:30PM - 6:15PM,"Account,Test",,On Campus,NA,11/14/2025,0 of 18,Click for Details
HEO231,Haul Truck & Final Grade Equipment Operation,1,8/20/2025 to 12/3/2025,3,W 7:00AM - 3:45PM,"Welshans,Seth",,On Campus,NA,WD 11/14/2025,3 of 18,Click for Details
NUR270L##,Childbearing Nursing Lab,1,8/19/2025 to 9/23/2025,0,T 6:30AM - 1:15PM,"Account,Test",,Off Campus,NA,"09/12/2025
Requires Associated Class NUR270 		
Lab restricted to lecture section 01		
Health/nursing requirements needed
See clinical grid for details
Additional times to be arranged
Times may vary by site
Transportation needed",1 of 6,Click for Details
NUR431L##,Adult Health Nursing III Lab,3,8/19/2025 to 12/3/2025,0,TW 6:30AM - 2:15PM,"Account,Test",,Off Campus,NA,"11/14/25
Requires Associated Class NUR431-21	
Restricted to BGN major
Health/nursing requirements needed
See clinical grid for details
Times may vary by site
Transportation needed
Additional times to be arranged",0 of 6,Click for Details
NUR272,Psychosocial Nursing,90,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Account,Test",,Distance Learning,NA,"11/14/25
Restricted to NL/NLD Major 
Friday 1 pm to 2:45 pm Synchronous online
Requires Associated Class NUR272L
Webcam required for exam proctoring
May require identity verification fees
100% instruction via distance",10 of 23,Click for Details
PAS646,Women's Health Clinical Experience,1,8/18/2025 to 9/19/2025,4,No scheduled meetings,"Mix,Cheressa",,Off Campus,NA,"September 12, 2025
Callback dates 9/18/2025 & 9/19/2025, Health/Nursing requirements needed, May require identity verification fees, May require housing, Times may vary by site, Transportation needed",5 of 5,Click for Details
IAS312,Network Defense,1,8/19/2025 to 12/4/2025,3,TR 11:00AM - 12:15PM,"Heimbach,Allen",,On Campus,Fall Only,11/14/2025,-5 of 12,Click for Details
SOC111,Introduction to Sociology,91,8/18/2025 to 12/12/2025,3,No scheduled meetings,"McKeon,Brian",,Distance Learning,NA,W/D 11/14/2025,10 of 25,Click for Details
QAL124,Ultrasonic Testing I,1,8/18/2025 to 10/10/2025,4.5,TR 7:30AM - 11:45AM...,"Hurd,Mark",,On Campus,NA,withdraw date 9/30/2025,5 of 12,Click for Details
ACR239,Residential HVAC System Design,1,8/19/2025 to 12/4/2025,3,TR 9:00AM - 11:15AM,"Kishbaugh,Bradley",,On Campus,NA,11/14/2025,0 of 18,Click for Details
DEN301,Issues in Professional Dental Hygiene,90,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Motel,Bridget",,Distance Learning,NA,"11/14/2025
May require identity verification fees.
100% virtual.",1 of 22,Click for Details
RST130,Vintage Metal Fabrication & Applications I,1,10/13/2025 to 12/11/2025,4,MTWR 8:30AM - 12:45PM...,"Klinger,Roy",,On Campus,Fall Only,12/2/2025,12 of 18,Click for Details
DEN103L##,Dental Hygiene I Lab,2,8/19/2025 to 12/4/2025,0,T 8:00AM - 10:45AM...,"Hicks,Jill; Saxe, Mary Jo; Hicks, Amanda",,On Campus,NA,11/14/2025,20 of 20,Click for Details
DEN202,General & Oral Pathology,21,8/18/2025 to 12/1/2025,2,M 2:00PM - 3:45PM,"Clossen,Tammy",,On Campus,Fall Only,11/14/2025,3 of 37,Click for Details
BEM101,Introduction to Emergency Management Operations,90,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Schlosser,William",,Distance Learning,Fall Only,W/D 11/14/2025,3 of 10,Click for Details
EET246,Robotics & Fluid Power,4,8/18/2025 to 12/3/2025,3,MW 10:30AM - 12:45PM,"Kinley,Kenneth",,On Campus,Fall Only,11/14/2025,-1 of 10,Click for Details
ART340,Illustration,2,8/18/2025 to 12/3/2025,3,MW 11:00AM - 1:15PM,"Anderson,Kathryn",,On Campus,Fall Only,W/D 11/14/2025,4 of 14,Click for Details
AVI145,Aircraft Turbine Engines,1,11/11/2025 to 12/12/2025,4,MTWRF 8:00AM - 9:15AM...,"Keyser,Korey",,On Campus,NA,12/9/2025,9 of 20,Click for Details
NUR214L##,Adult Medical-Surgical Nursing II Lab,74,8/23/2025 to 11/22/2025,0,S 6:30AM - 3:15PM,"Account,Test",,Off Campus,NA,"11/07/2025
Requires Associated Class NUR214-91		
Lab restricted to lecture section 91		
Restricted to RN major
Health/nursing requirements needed
See clinical grid for details
Additional times to be arranged
Times may vary by site
Transportation needed",0 of 11,Click for Details
MLS305,Training Management & the Warfighting Functions,41,8/18/2025 to 12/1/2025,3,M 6:00PM - 8:45PM,"Mally,Jeffrey",,On Campus,NA,11/14/2025,17 of 20,Click for Details
FYE101,First Year Experience,05 ARCH,8/19/2025 to 12/4/2025,1,TR 8:00AM - 8:50AM,"Brooks,Daniel",,On Campus,NA,11/14/2025,2 of 24,Click for Details
ELT227,Industrial Motor Control,21,8/18/2025 to 12/3/2025,4,MW 12:30PM - 1:45PM...,"Fagnano,Vincent",,On Campus,NA,11/14/2025,0 of 15,Click for Details
PHA424,Pathophysiology I,1,8/18/2025 to 12/1/2025,2,W 8:00AM - 8:50AM...,"Kavanagh,Kimberly",,On Campus,Fall Only,11/14/2025,29 of 30,Click for Details
FYE101,First Year Experience,39 ET,8/20/2025 to 12/5/2025,1,WF 1:00PM - 1:50PM,"Account,Test",,On Campus,NA,11/14/2025,6 of 24,Click for Details
PPT119,Polymer Processing Survey - Lab,1,8/20/2025 to 12/3/2025,1,W 8:00AM - 10:45AM,"Perez,Jose",,On Campus,Fall Only,withdrawal date 11/14/2025,8 of 12,Click for Details
MTH242,Calculus II,1,8/18/2025 to 12/4/2025,4,MW 11:00AM - 11:50AM...,"Mitchell,Robert",,On Campus,NA,W/D 11/14/2025,10 of 20,Click for Details
BCM230,Construction Surveying,3,8/18/2025 to 12/5/2025,3,MF 8:00AM - 11:15AM,"Krick,Jason",,On Campus,NA,11/14/2025,1 of 14,Click for Details
DSM236L##,Heavy Equipment Machine Electronics & Diagnostic Procedures Lab,1,8/21/2025 to 12/4/2025,0,R 8:00AM - 10:45AM,"Fry,Jeremy",,On Campus,NA,WD 11/14/2025,0 of 19,Click for Details
BCT238,Concrete Construction,4,8/22/2025 to 12/5/2025,3,F 8:00AM - 8:50AM...,"Reber,Franklin",,On Campus,NA,11/14/2025,3 of 13,Click for Details
ACC123,Introduction to Managerial Accounting,21,8/19/2025 to 12/4/2025,3,TR 2:00PM - 3:15PM,"Lukpetris,Sylvia",,On Campus,NA,W/D 11/14/2025,0 of 18,Click for Details
MTR104,Basics of Medical Terminology,92,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Morgan,Amber",,Distance Learning,NA,"W/D 11/14/25 
Times to be arranged. May require identity verification fees. 100% of instruction via distance.",23 of 30,Click for Details
ART270,Computer Graphics I,41,8/19/2025 to 12/4/2025,3,TR 5:00PM - 7:15PM,"Anderson,Kathryn",,On Campus,Fall Only,W/D 11/14/2025,4 of 13,Click for Details
CCD103,Technical Drawing I,1,8/18/2025 to 12/5/2025,4,MWF 8:00AM - 8:50AM...,"Miller,Craig",,On Campus,Fall Only,11/14/2025,7 of 18,Click for Details
MTT129,Lathe Applications,1,8/19/2025 to 12/5/2025,4,T 8:00AM - 8:50AM...,"Troup,Howard",,On Campus,NA,11/14/2025,0 of 14,Click for Details
PSY111,General Psychology,41,8/19/2025 to 12/4/2025,3,TR 5:00PM - 6:15PM,"Wheeler,Jeffrey",,On Campus,NA,W/D 11/14/2025,19 of 25,Click for Details
HRT110L##,Soils & Fertilizers Lab,2,8/22/2025 to 12/5/2025,0,F 8:00AM - 10:45AM,"Shelinski,Justin",,On Campus,NA,WD 11/14/2025,12 of 13,Click for Details
MTH123,Technical Algebra & Trigonometry I,3,8/19/2025 to 12/4/2025,3,TR 11:00AM - 12:45PM,"Haines,Evonne",,On Campus,NA,W/D 11/14/2025,0 of 22,Click for Details
ACH101,Introduction to Architecture,21,8/18/2025 to 12/1/2025,1,M 12:30PM - 2:15PM,"Demmien,Kara",,On Campus,Fall Only,11/14/2025,0 of 15,Click for Details
PAS645,Elective Clinical Experience,2,9/22/2025 to 10/31/2025,4,No scheduled meetings,"Kavanagh,Kimberly",,Off Campus,NA,"October 23, 2025
Callback dates 10/30/2025 &10/31/2025, Health/Nursing requirements needed, May require identity verification fees, May require housing, Times may vary by site, Transportation needed",5 of 5,Click for Details
MTH108,Elementary Algebra II,22,8/18/2025 to 12/4/2025,3,M 2:00PM - 2:50PM...,"Buck,Jennifer",,On Campus,NA,W/D 11/14/2025,5 of 22,Click for Details
FIN305,Fundamentals of Financial Planning,90,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Fletcher,Roy",,Distance Learning,NA,W/D 11/14/2025,6 of 18,Click for Details
SPC101,Fundamentals of Speech,1,8/18/2025 to 12/5/2025,3,MWF 9:00AM - 9:50AM,"Gilchrist,Brian",,On Campus,NA,W/D 11/14/2025,9 of 20,Click for Details
ACH262,Sustainability: Building & Living Green,90,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Jabbour,Naim",,Distance Learning,NA,11/14/2025,0 of 20,Click for Details
FIN305,Fundamentals of Financial Planning,21,8/19/2025 to 12/4/2025,3,TR 12:30PM - 1:45PM,"Fletcher,Roy",,On Campus,NA,W/D 11/14/2025,10 of 18,Click for Details
PLH223,Mechanical Systems,1,8/18/2025 to 12/3/2025,4,MW 8:00AM - 8:50AM...,"Welker,Kenneth",,On Campus,NA,11/14/2025,-4 of 16,Click for Details
INV350,Advanced Innovation I,90,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Beaver,Chet",,Distance Learning,NA,W/D 11/14/2025,18 of 20,Click for Details
ENL201,Technical & Professional Communication,5,8/18/2025 to 12/5/2025,3,MWF 11:00AM - 11:50AM,"Morris,Debra",,On Campus,NA,W/D 11/14/2025,7 of 24,Click for Details
NUR188L##,Adult Medical-Surgical Nursing I Lab,22,8/19/2025 to 12/2/2025,0,T 2:30PM - 11:15PM,"Account,Test",,Off Campus,NA,"11/14/25
Requires associated class of NUR188-21
Health/nursing requirements needed
see clinical grid for details
Transportation needed
Times may vary by site
Additional times to be arranged",0 of 10,Click for Details
FYE101,First Year Experience,46 ET,8/18/2025 to 12/3/2025,1,MW 3:30PM - 4:20PM,"Fagnano,Kristine",,On Campus,NA,11/14/2025,0 of 24,Click for Details
DSG327,3D Rendering & Animation,1,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Schreck,Shane",,On Campus,Fall Only,11/14/2025,1 of 2,Click for Details
EET444,Robots & Vision Systems,1,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Kinley,Kenneth",,On Campus,Spring Only,11/14/2025,0 of 2,Click for Details
HEO204,"Forklifts, Mobile Elevated Work Platforms & Scissor Lifts",1,8/19/2025 to 12/2/2025,3,T 8:00AM - 12:45PM,"Weaver,Christopher",,On Campus,NA,WD 11/14/2025,0 of 14,Click for Details
ACC341,Intermediate Accounting I,90,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Pacenta,JoAnn",,Distance Learning,Fall Only,W/D 11/14/2025,1 of 5,Click for Details
CIT160,Introduction to Programming,21,8/18/2025 to 12/3/2025,3,MW 2:00PM - 3:15PM,"Maize,John",,On Campus,NA,11/14/2025,6 of 22,Click for Details
CET410,Geotechnical Engineering,1,8/18/2025 to 12/3/2025,3,T 8:00AM - 10:45AM...,"Fedor,David",,On Campus,Fall Only,withdrawal date 11/14/25,17 of 20,Click for Details
MGT115,Principles of Management,90,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Bukeavich,Summer",,Distance Learning,NA,W/D 11/14/2025,0 of 20,Click for Details
BCT103,Construction Hand & Power Tools,3,8/18/2025 to 12/1/2025,1,M 8:00AM - 8:50AM...,"Francis,Matthew",,On Campus,NA,11/14/2025,4 of 18,Click for Details
NUR287,Essentials of Pharmacology,21,8/18/2025 to 12/1/2025,2,M 12:00PM - 1:45PM,"Hyatt,Kathleen",,On Campus,NA,"11/14/25
Webcam required for exam proctoring
May require identity verification fees",5 of 30,Click for Details
MTH123,Technical Algebra & Trigonometry I,22,8/18/2025 to 12/3/2025,3,MW 2:00PM - 3:45PM,"Vander Vere,Curt",,On Campus,NA,W/D 11/14/2025,0 of 22,Click for Details
EET246,Robotics & Fluid Power,2,8/19/2025 to 12/4/2025,3,TR 11:30AM - 1:45PM,"Kinley,Kenneth",,On Campus,Fall Only,11/14/2025,0 of 10,Click for Details
PHA645,Elective Clinical Experience,2,9/22/2025 to 10/31/2025,4,No scheduled meetings,"Kavanagh,Kimberly",,Off Campus,NA,"October 23, 2025
Callback dates 10/30/2025 &10/31/2025, Health/Nursing requirements needed, May require identity verification fees, May require housing, Times may vary by site, Transportation needed",5 of 5,Click for Details
BIO115,Human Anatomy & Physiology I,1,8/18/2025 to 12/4/2025,4,TR 8:00AM - 9:45AM...,"Ingram,Justin",,On Campus,NA,W/D 11/14/2025,4 of 24,Click for Details
MLS205,Leadership & Decision Making,41,8/20/2025 to 12/3/2025,2,W 4:30PM - 6:15PM,"Tice,David",,On Campus,NA,11/14/2025,12 of 20,Click for Details
FIT208,Wellness: Choices for Life,90,8/18/2025 to 12/12/2025,2,No scheduled meetings,"Arrigonie,John",,Distance Learning,NA,"W/D 11/14/25 
Times to be arranged. May require identity verification fees. 100% of instruction via distance.",5 of 22,Click for Details
CET238,"Origin, Distribution & Behavior of Soils",97,8/21/2025 to 12/4/2025,3,R 8:00AM - 10:45AM,"Fedor,David",,Hybrid,Fall Only,"withdrawal date 11/14/25
40% distance lecture, 60% in-person lab",7 of 20,Click for Details
BBT407,Building Control Networks I,23,8/18/2025 to 12/3/2025,3,MW 1:00PM - 1:50PM...,"Fisher,Andrew",,On Campus,Fall Only,11/14/2025,2 of 14,Click for Details
ART180,Drawing,4,8/19/2025 to 12/4/2025,3,TR 11:00AM - 1:15PM,"Anderson,Kathryn",,On Campus,NA,11/14/2025,9 of 18,Click for Details
BIX401,Design Studio II,1,8/19/2025 to 12/4/2025,5,TR 10:00AM - 3:15PM,"Ask,Thomas",,On Campus,NA,11/14/2025,10 of 16,Click for Details
FHD117,Purchasing,1,8/22/2025 to 12/5/2025,2,F 8:00AM - 9:45AM,"Farr-Lepper,Amanda",,On Campus,NA,W/D 11/14/2025,0 of 16,Click for Details
PHS201,General Physics I,1,8/18/2025 to 12/5/2025,4,R 8:00AM - 10:45AM...,"Keebaugh,Christof",,On Campus,NA,W/D 11/14/2025,10 of 20,Click for Details
MTT128,Mill Applications,41,8/18/2025 to 12/3/2025,4,M 5:00PM - 5:50PM...,"Yorks,Jason",,On Campus,NA,11/14/2025,8 of 14,Click for Details
EET116,Electronic Circuits & Devices I,2,8/18/2025 to 12/5/2025,5,MWF 10:00AM - 10:50AM...,"West,William",,On Campus,NA,11/14/2025,3 of 12,Click for Details
CHM111,General Chemistry I,41,8/18/2025 to 12/3/2025,4,MW 5:00PM - 6:15PM...,"Tamblin,John",,On Campus,NA,W/D 11/14/2025,0 of 14,Click for Details
FHD212,Applications of Professional Cooking,1,10/13/2025 to 12/2/2025,3,MT 7:30AM - 1:15PM...,"Suchwala,Francis",,On Campus,NA,W/D 11/25/25,15 of 16,Click for Details
FOR113,Forest Mensuration,1,8/19/2025 to 12/4/2025,3,TR 8:00AM - 8:50AM...,"Easton,Eric",,On Campus,Fall Only,W/D 11/14/25,0 of 17,Click for Details
MGT115,Principles of Management,2,8/18/2025 to 12/3/2025,3,MW 11:00AM - 12:15PM,"Bukeavich,Summer",,On Campus,NA,W/D 11/14/2025,2 of 25,Click for Details
BCT342,Contemporary Issues in Residential Construction,2,8/19/2025 to 12/4/2025,2,TR 10:30AM - 11:20AM,"Jones,Robert",,On Campus,NA,11/14/2025,10 of 18,Click for Details
ENL111,English Composition I,2,8/18/2025 to 12/5/2025,3,MWF 8:00AM - 8:50AM,"Account,Test",,On Campus,ENL111 Summer Discount,W/D 11/14/2025,0 of 23,Click for Details
ACC113,Introduction to Financial Accounting,22,8/19/2025 to 12/4/2025,3,TR 2:00PM - 3:15PM,"Nolan,Robert",,On Campus,NA,W/D 11/14/2025,14 of 19,Click for Details
RAD220L##,Radiographic Anatomy & Positioning III Lab,4,8/22/2025 to 12/5/2025,0,F 11:30AM - 12:45PM,"Cao,Qiang",,On Campus,NA,11/14/2025,2 of 7,Click for Details
BIO311,Introduction to Human Pathophysiology,21,8/19/2025 to 12/4/2025,3,TR 2:00PM - 3:15PM,"Ingram,Justin",,On Campus,Fall Only,W/D 11/14/25,14 of 24,Click for Details
MGT115,Principles of Management,21,8/18/2025 to 12/3/2025,3,MW 12:30PM - 1:45PM,"Christopher,Daniel",,On Campus,NA,W/D 11/14/2025,1 of 25,Click for Details
EET114,Introduction to Digital Electronics,1,8/18/2025 to 12/5/2025,3,MWF 10:00AM - 10:50AM,"Tombasco,Mario",,On Campus,NA,11/14/2025,8 of 21,Click for Details
AMT109,Automotive Electrical Fundamentals,2,11/10/2025 to 12/12/2025,3,MTWR 8:00AM - 9:45AM...,"Januchowski,Jeffrey",,On Campus,NA,12/1/2025,0 of 16,Click for Details
AMT268,Studies of Automotive Safety,1,8/18/2025 to 12/12/2025,1,No scheduled meetings,"Probst,Charles",,Hybrid,NA,11/14/2025,2 of 3,Click for Details
ELT237,Construction Lab III - Industrial,21,8/18/2025 to 12/3/2025,4,MW 1:00PM - 1:50PM...,"Raup,Joseph",,On Campus,NA,11/14/2025,0 of 12,Click for Details
FYE101,First Year Experience,51 ET,8/18/2025 to 12/3/2025,1,MW 6:00PM - 6:50PM,"Account,Test",,On Campus,NA,11/14/2025,1 of 24,Click for Details
CSC124,"Information, Technology & Society",49,8/18/2025 to 12/1/2025,3,M 6:30PM - 9:15PM,"Ellis,Brad",,On Campus,NA,11/14/2025,0 of 24,Click for Details
ACC113,Introduction to Financial Accounting,1,8/19/2025 to 12/4/2025,3,TR 11:00AM - 12:15PM,"Fletcher,Roy",,On Campus,NA,W/D 11/14/2025,1 of 19,Click for Details
SCI101,Introduction to Forensic Science,90,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Butzler,Kelly",,Distance Learning,NA,W/D 11/14/2025,0 of 24,Click for Details
EET145L##,Networking I Lab,2,8/19/2025 to 12/4/2025,0,TR 11:00AM - 12:15PM,"Crossen,John",,On Campus,NA,11/14/2025,18 of 22,Click for Details
MTH123,Technical Algebra & Trigonometry I,1,8/18/2025 to 12/3/2025,3,MW 8:00AM - 9:45AM,"Lingafelt,Felicia",,On Campus,NA,W/D 11/14/2025,0 of 22,Click for Details
CET160,Surveying for Civil Engineers,1,8/18/2025 to 12/3/2025,3,MW 8:00AM - 8:50AM...,"Fedor,David",,On Campus,Fall Only,withdrawal date 11/14/25,10 of 20,Click for Details
ENL111,English Composition I,22,8/19/2025 to 12/4/2025,3,TR 2:00PM - 3:15PM,"Myers,Shelley",,On Campus,ENL111 Summer Discount,W/D 11/14/2025,0 of 23,Click for Details
ACR116,Introduction to Refrigeration,4,8/19/2025 to 12/4/2025,4,TR 8:00AM - 8:50AM...,"Harris,Daniel",,On Campus,NA,11/14/2025,0 of 13,Click for Details
MIS211,Business Computer Applications Using Spreadsheet,90,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Budnovitch,Michele",,Distance Learning,NA,W/D 11/14/2025,1 of 20,Click for Details
PAS640,Family Medicine Clinical Experience,3,11/3/2025 to 12/12/2025,4,No scheduled meetings,"Dorman,Heather",,Off Campus,NA,"December 4, 2025
Callback dates 12/11/2025 &12/12/2025, Health/Nursing requirements needed, May require identity verification fees, May require housing, Times may vary by site, Transportation needed",4 of 5,Click for Details
FYE101,First Year Experience,32 ET,8/19/2025 to 12/4/2025,1,TR 2:00PM - 2:50PM,"Perez,Jose",,On Campus,NA,11/14/2025,5 of 24,Click for Details
HEO206,Commercial Driver's License (CDL) Prep,1,8/19/2025 to 12/4/2025,3,T 1:00PM - 2:45PM...,"Bashista,Kenneth",,On Campus,NA,WD 11/14/2025,0 of 14,Click for Details
DSM236,Heavy Equipment Machine Electronics & Diagnostic Procedures,1,8/20/2025 to 12/3/2025,3,W 12:00PM - 1:45PM,"King,Andrew",,On Campus,Fall Only,WD 11/14/2025,0 of 36,Click for Details
PPT310,Advanced Extrusion,21,8/20/2025 to 12/5/2025,3,R 12:30PM - 3:15PM...,"Sneidman,Mark",,On Campus,Fall Only,withdrawal date 11/14/25,3 of 12,Click for Details
WEL410,Industrial Weld Design,22,8/19/2025 to 12/4/2025,3,TR 1:00PM - 3:15PM,"Weitzel,Levi",,On Campus,Fall Only,withdraw date 11/14/25,1 of 15,Click for Details
MTH108,Elementary Algebra II,21,8/18/2025 to 12/4/2025,3,TR 12:30PM - 1:45PM...,"Kulpon,Mary",,On Campus,NA,W/D 11/14/2025,3 of 22,Click for Details
NUR340L##,Pediatric Nursing Lab,2,8/22/2025 to 11/14/2025,0,F 6:30AM - 2:15PM,"Account,Test",,Off Campus,NA,"10/24/2025
Requires Associated Class NUR340-01	
Restricted to BGN major
Health/nursing requirements needed
See clinical grid for details
Times may vary by site
Transportation needed
Additional times to be arranged",0 of 10,Click for Details
DSM227,Power Generation Theory & Operation,2,8/19/2025 to 12/4/2025,4,TR 12:30PM - 1:20PM...,"Smith,Drew",,On Campus,Fall Only,WD 11/14/2025,3 of 12,Click for Details
AVI120,Aviation Science I,1,8/18/2025 to 9/12/2025,2,MTWRF 11:45AM - 12:35PM...,"Keyser,Korey",,On Campus,Fall Only,9/8/2025,5 of 20,Click for Details
MTH005,Elementary Algebra I,1,8/18/2025 to 12/4/2025,3,TR 9:30AM - 10:45AM...,"Buck,Jennifer",,On Campus,NA,W/D 11/14/2025,3 of 22,Click for Details
MTH005,Elementary Algebra I,3,8/18/2025 to 12/4/2025,3,MW 9:00AM - 9:50AM...,"Account,Test",,On Campus,NA,W/D 11/14/2025,3 of 22,Click for Details
CHM108,Chemistry Survey,21,8/19/2025 to 12/4/2025,4,W 1:00PM - 3:45PM...,"Banks,Mary",,On Campus,NA,W/D 11/14/2025,0 of 14,Click for Details
ENL121,English Composition II,21,8/19/2025 to 12/4/2025,3,TR 12:30PM - 1:45PM,"Martin,Jeremy",,On Campus,NA,W/D 11/14/2025,14 of 20,Click for Details
NUR420,Mental Health Nursing,21,8/21/2025 to 12/4/2025,4,R 1:00PM - 2:45PM,"Account,Test",,On Campus,NA,"11/14/25
Restricted to BGN Major 
Requires Associated Class NUR 420L
Webcam required for exam proctoring
May require identity verification fees",0 of 25,Click for Details
CSC124,"Information, Technology & Society",11,8/19/2025 to 12/4/2025,3,TR 9:30AM - 10:45AM,"Webb,Melissa",,On Campus,NA,11/14/2025,0 of 24,Click for Details
CSC124,"Information, Technology & Society",24,8/18/2025 to 12/3/2025,3,MW 3:30PM - 4:45PM,"Account,Test",,On Campus,NA,11/14/2025,0 of 24,Click for Details
BIO103,Human Anatomy & Physiology Survey,2,8/19/2025 to 12/4/2025,4,TR 11:00AM - 12:15PM...,"Hensler Jansen,Laura",,On Campus,NA,W/D 11/14/2025,5 of 24,Click for Details
DSM226,Automatic Transfer Switch,2,8/22/2025 to 12/5/2025,2,F 11:00AM - 11:50AM...,"Smith,Drew",,On Campus,Fall Only,WD 11/14/2025,2 of 10,Click for Details
HRT141L##,Herbaceous Plants Lab,1,8/21/2025 to 12/4/2025,0,R 8:00AM - 10:45AM,"Bower,Carl",,On Campus,NA,WD 11/14/2025,11 of 12,Click for Details
NUR271L##,Nursing Care of Children Lab,4,8/19/2025 to 9/23/2025,0,T 6:30AM - 1:15PM,"Account,Test",,Off Campus,NA,"09/12/2025
Requires Associated Class NUR271		
Lab restricted to lecture section 01		
Health/nursing requirements needed
See clinical grid for details
Additional times to be arranged
Times may vary by site
Transportation needed",0 of 6,Click for Details
AMT242,Vehicle Safety Inspection,1,8/21/2025 to 10/9/2025,1,R 2:00PM - 3:45PM,"Showan,David",,On Campus,NA,9/30/2025,3 of 16,Click for Details
CCD237,Technical Drawing - Related Disciplines,21,8/18/2025 to 12/5/2025,4,MW 12:00PM - 2:15PM...,"Krawiec,Catherine",,On Campus,Fall Only,11/14/2025,6 of 18,Click for Details
NUR270L##,Childbearing Nursing Lab,4,9/30/2025 to 11/11/2025,0,T 6:30AM - 1:15PM,"Account,Test",,Off Campus,NA,"10/28/2025
Requires Associated Class NUR270 		
Lab restricted to lecture section 01		
Health/nursing requirements needed
See clinical grid for details
Additional times to be arranged
Times may vary by site
Transportation needed",0 of 6,Click for Details
ACR249,Advanced HVAC System Service,1,8/18/2025 to 12/3/2025,3,MW 1:00PM - 1:25PM...,"Killinger,Jason",,On Campus,NA,11/14/2025,-5 of 16,Click for Details
EET499,Senior Project Implementation,1,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Fedor,Christopher",,On Campus,NA,11/14/2025,0 of 1,Click for Details
PTA220L##,Therapeutic Exercise Lab,2,8/20/2025 to 12/3/2025,0,W 9:00AM - 11:45AM,"Snyder-Everitt,Sheryl",,On Campus,NA,11/14/2025,2 of 6,Click for Details
